"id","name","gst_no","user_id","credit_balance","debit_balance","financial_year","isDealer","type","createdAt","updatedAt"
338,MUSTHAFA WHOLESALE KIRANA & G/S,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
339,LAKSHMI SAI FANCY & KANGAN HALL,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
341,tava purnachandrao g/s,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
1,Sale of Fancy Item,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 16:51:43.058 +0530,2025-03-02 16:51:43.058 +0530
2,Sale of Fancy Item 5%,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 16:52:47.013 +0530,2025-03-02 16:52:47.013 +0530
3,Sale of Fancy Item 12%,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 16:53:23.843 +0530,2025-03-02 16:53:23.843 +0530
4,Sale of Fancy Item 18%,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 16:53:47.393 +0530,2025-03-02 16:53:47.393 +0530
192,Purchases Account,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-02 16:59:19.109 +0530
5,SGST 2.5%,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 19:48:13.483 +0530,2025-03-02 19:48:13.483 +0530
6,CGST 2.5%,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 19:48:41.737 +0530,2025-03-02 19:48:41.737 +0530
7,SGST 6%,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 19:49:19.289 +0530,2025-03-02 19:49:19.289 +0530
8,CGST 6%,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 19:49:31.958 +0530,2025-03-02 19:49:31.958 +0530
9,SGST 9%,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 19:49:54.489 +0530,2025-03-02 19:49:54.489 +0530
10,CGST 9%,"",9,0.00,0.00,"2024-2025",false,,2025-03-02 19:50:08.141 +0530,2025-03-02 19:50:08.141 +0530
11,Purchase of Fancy Item,"",9,0.00,0.00,"2024-2025",false,,2025-03-06 18:05:21.643 +0530,2025-03-06 18:05:21.643 +0530
12,Purchase Return of Fancy Item,"",9,0.00,0.00,"2024-2025",false,,2025-03-06 18:05:57.645 +0530,2025-03-06 18:05:57.645 +0530
13,Purchase of Fancy Item 5%,"",9,0.00,0.00,"2024-2025",false,,2025-03-06 18:06:48.518 +0530,2025-03-06 18:06:48.518 +0530
14,Purchase of Fancy Item 12%,"",9,0.00,0.00,"2024-2025",false,,2025-03-06 18:07:03.376 +0530,2025-03-06 18:07:03.376 +0530
15,Purchase of Fancy Item 18%,"",9,0.00,0.00,"2024-2025",false,,2025-03-06 18:07:15.405 +0530,2025-03-06 18:07:15.405 +0530
16,Purchase Return of Fancy Item 5%,"",9,0.00,0.00,"2024-2025",false,,2025-03-06 18:07:48.243 +0530,2025-03-06 18:07:48.243 +0530
17,Purchase Return of Fancy Item 12%,"",9,0.00,0.00,"2024-2025",false,,2025-03-06 18:08:05.870 +0530,2025-03-06 18:08:05.870 +0530
