"id","category_id","entry_date","account_id","item_id","quantity","unit_price","total_amount","value","user_id","financial_year","unit_id","journal_id","type","createdAt","updatedAt"
147,17,"2024-05-11T00:00:00.000Z",264,9,"1","3598.83","4030.6895999999997","3598.83",9,"2024-2025",12,147,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
148,18,"2024-05-11T00:00:00.000Z",202,10,"1","786.86","928.4947999999999","786.86",9,"2024-2025",12,148,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
149,17,"2024-05-11T00:00:00.000Z",211,9,"1","3311.68","3709.0816","3311.68",9,"2024-2025",12,149,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
150,18,"2024-05-11T00:00:00.000Z",265,10,"1","7900.3","9322.354","7900.30",9,"2024-2025",12,150,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
151,17,"2024-05-14T00:00:00.000Z",266,9,"1","1957.11","2191.9631999999997","1957.11",9,"2024-2025",12,151,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
152,18,"2024-05-14T00:00:00.000Z",266,10,"1","720.74","850.4732","720.74",9,"2024-2025",12,152,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
153,17,"2024-05-14T00:00:00.000Z",267,9,"1","314.73","352.49760000000003","314.73",9,"2024-2025",12,153,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
154,18,"2024-05-14T00:00:00.000Z",268,10,"1","887.8","1047.604","887.80",9,"2024-2025",12,154,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
155,17,"2024-05-14T00:00:00.000Z",269,9,"1","796.43","892.0015999999999","796.43",9,"2024-2025",12,155,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
156,17,"2024-05-14T00:00:00.000Z",270,9,"1","925.96","1037.0752","925.96",9,"2024-2025",12,156,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
157,18,"2024-05-14T00:00:00.000Z",270,10,"1","2734.9","3227.1820000000002","2734.90",9,"2024-2025",12,157,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
